Budapest;260,8;166
Dunakeszi;266,4;161,6
Vác;268,8;128,4
Gödöllő;285,2;152,4
Érd;248,8;180
Tatabánya;206;156,8
Gyöngyös;339,2;129,2
Jászberény;336;166,4
Esztergom;233,2;128
Győr;140;142
Sopron;46,8;141,6
Levél;100,4;114,4
Ács;171,6;138
Balatonföldvár;159,2;247,2
Kőszeg;43,2;180
Szombathely;49,2;200,4
Zalaegerszeg;70,8;249,6
Szentgotthárd;19,6;236
Lenti;38,8;276,8
Nagykanizsa;72,8;296,8
Keszthely;103,2;259,6
Siófok;175,6;241,2
Balatonfüred;157,6;235,6
Balatonalmádi;169,2;226
Balatonszemes;150;254,4
Veszprém;164;217,6
Székesfehérvár;209,2;206,4
Velence;222;198,4
Dunaújváros;249,6;234
Sárbogárd;224,8;245,6
Paks;243,6;280
Tihany;159,6;240,4
Aszófő;155;237
Kaposvár;151,2;312
Dombovár;181,2;308,4
Nagyatád;114;324,4
Szigetvár;154;348,8
Pécs;193,6;347,6
Mohács;227,2;355,2
Szekszárd;235,2;312,8
Kalocsa;255,6;285,2
Tolna;236,8;299,2
Tamási;194,4;275,6
Matty;188;381,2
Baja;252,8;330,8
Kiskunhalas;299,6;300,4
Bácsalmás;284,8;337,2
Soltvadkert;289,6;281,6
Szeged;357,2;323,6
Hódmezővásárhely;372,4;301,6
Ópusztaszer;341,6;292,4
Kecskemét;318,4;243,2
Tiszakécske;352,8;235,6
Fülöpszállás;276,1;249
Tompa;304;330,4
Szentes;367,2;272,4
Orosháza;402;282,4
Mezőhegyes;411,2;315,2
Szarvas;393,6;247,6
Békéscsaba;438;267,2
Gyula;456;274,8
Mezőberény;434,4;251,6
Mezőtúr;399,6;228
Nagykőrös;323,2;226
Komádi;476,8;229,6
Szeghalom;445,6;225,6
Gyomaendrőd;416,4;238
Szolnok;361,2;208,4
Abony;344,8;200
Cegléd;328,4;203,2
Albertirsa;307,6;194,4
Kisújszállás;413,2;197,2
Karcag;426,4;188,8
Püspökladány;440,4;186,4
Kunhegyes;398,8;182
Tiszafüred;410,8;150,8
Heves;369,6;151,2
Dormánd;380,8;135,2
Poroszló;401,2;145,2
Kunmadaras;415,2;169,2
Berettyóújfalu;477,6;198
Ártánd;497,6;212
Hajdúszoboszló;470,4;172,8
Derecske;480,4;183,2
Debrecen;487,2;161,6
Hortobágy;444,4;152
Vámospércs;506,8;159,6
Hajdúböszörmény;472,4;142,4
Hajdúhadház;488,4;144
Nyíradony;508,4;140,4
Nyíregyháza;493,6;105,6
Miskolc;418,8;84,4
Eger;377,2;112,8
Mezőkövesd;391,6;123,2
Ózd;369,6;68,8
Salgótarján;326,4;87,2
Aggtelek;387,2;36,4
Tornyosnémeti;452,4;31,6
Szerencs;448,8;78,4
Sátoraljaújhely;490;47,6
Sárospatak;479,2;56,8
Tiszaújváros;437,2;110,8
Polgár;442;118
Kisvárda;524,4;69,6
Záhony;533,6;46,4
Bátaszék;232;330
Sükösd;257,8;316
Dunaföldvár;249,6;249
Solt;257,1;250
Hatvan;320;139,4
Nagykáta;328;172,4